year,level_1,level_2,value
2015,Clementi Police Division - Queenstown NPC,Harassment,70
2015,Tanglin Police Division - Total,Unlicensed Moneylending,33
2015,Tanglin Police Division - Total,Harassment,240
2015,Tanglin Police Division - Bishan NPC,Unlicensed Moneylending,4
2015,Tanglin Police Division - Bishan NPC,Harassment,56
2015,Tanglin Police Division - Bukit Timah NPC,Unlicensed Moneylending,2
2015,Tanglin Police Division - Bukit Timah NPC,Harassment,31
2015,Tanglin Police Division - Kampong Java NPC,Unlicensed Moneylending,10
2015,Tanglin Police Division - Kampong Java NPC,Harassment,41
2015,Tanglin Police Division - Orchard NPC,Unlicensed Moneylending,4
2015,Tanglin Police Division - Orchard NPC,Harassment,10
2015,Tanglin Police Division - Toa Payoh NPC,Unlicensed Moneylending,13
2015,Tanglin Police Division - Toa Payoh NPC,Harassment,102
2015,Ang Mo Kio Police Division - Total,Unlicensed Moneylending,130
2015,Ang Mo Kio Police Division - Total,Harassment,1201
2015,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Unlicensed Moneylending,51
2015,Ang Mo Kio Police Division - Ang Mo Kio North NPC,Harassment,126
2015,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Unlicensed Moneylending,10
2015,Ang Mo Kio Police Division - Ang Mo Kio South NPC,Harassment,90
2015,Ang Mo Kio Police Division - Hougang NPC,Unlicensed Moneylending,9
2015,Ang Mo Kio Police Division - Hougang NPC,Harassment,216
2015,Ang Mo Kio Police Division - Punggol NPC,Unlicensed Moneylending,6
2015,Ang Mo Kio Police Division - Punggol NPC,Harassment,111
2015,Ang Mo Kio Police Division - Sembawang NPC,Unlicensed Moneylending,12
2015,Ang Mo Kio Police Division - Sembawang NPC,Harassment,57
2015,Ang Mo Kio Police Division - Sengkang NPC,Unlicensed Moneylending,12
2015,Ang Mo Kio Police Division - Sengkang NPC,Harassment,201
2015,Ang Mo Kio Police Division - Serangoon NPC,Unlicensed Moneylending,5
