Year,Crime_code,Age_group,Gender,Total_count
2018,14,Youths (7 To 19 Years Old),Male,25
2018,14,Above 21 Years Old,Female,42
2018,14,21 Years Old And Below,Female,13
2018,14,Youths (7 To 19 Years Old),Female,9
2018,18,Above 21 Years Old,Male,1628
2018,18,21 Years Old And Below,Male,237
2018,18,Youths (7 To 19 Years Old),Male,153
2018,18,Above 21 Years Old,Female,768
2018,18,21 Years Old And Below,Female,114
2018,18,Youths (7 To 19 Years Old),Female,81
2019,15,Above 21 Years Old,Male,21
2019,15,21 Years Old And Below,Male,0
2019,15,Youths (7 To 19 Years Old),Male,0
2019,15,Above 21 Years Old,Female,6
2019,15,21 Years Old And Below,Female,1
2019,15,Youths (7 To 19 Years Old),Female,1
2019,16,Above 21 Years Old,Male,113
2019,16,21 Years Old And Below,Male,58
2019,16,Youths (7 To 19 Years Old),Male,43
2019,16,Above 21 Years Old,Female,0
2019,16,21 Years Old And Below,Female,0
2019,16,Youths (7 To 19 Years Old),Female,0
2019,8,Above 21 Years Old,Male,967
2019,8,21 Years Old And Below,Male,99
2019,8,Youths (7 To 19 Years Old),Male,77
2019,8,Above 21 Years Old,Female,10
2019,8,21 Years Old And Below,Female,1
2019,8,Youths (7 To 19 Years Old),Female,1
2019,7,Above 21 Years Old,Male,77
2019,7,21 Years Old And Below,Male,23
2019,7,Youths (7 To 19 Years Old),Male,17
2019,7,Above 21 Years Old,Female,5
2019,7,21 Years Old And Below,Female,0
2019,7,Youths (7 To 19 Years Old),Female,0
2019,11,Above 21 Years Old,Male,108
2019,11,21 Years Old And Below,Male,25
2019,11,Youths (7 To 19 Years Old),Male,22
2019,11,Above 21 Years Old,Female,6
2019,11,21 Years Old And Below,Female,5
2019,11,Youths (7 To 19 Years Old),Female,5
2019,9,Above 21 Years Old,Male,40
2019,9,21 Years Old And Below,Male,21
2019,9,Youths (7 To 19 Years Old),Male,19
2019,9,Above 21 Years Old,Female,2
2019,9,21 Years Old And Below,Female,1
2019,9,Youths (7 To 19 Years Old),Female,1
2019,10,Above 21 Years Old,Male,27
2019,10,21 Years Old And Below,Male,2
2019,10,Youths (7 To 19 Years Old),Male,0
2019,10,Above 21 Years Old,Female,1
2019,10,21 Years Old And Below,Female,0
2019,10,Youths (7 To 19 Years Old),Female,0
2019,17,Above 21 Years Old,Male,195
2019,17,21 Years Old And Below,Male,183
2019,17,Youths (7 To 19 Years Old),Male,138
2019,17,Above 21 Years Old,Female,0
2019,17,21 Years Old And Below,Female,17
2019,17,Youths (7 To 19 Years Old),Female,15
2019,14,Above 21 Years Old,Male,343
2019,14,21 Years Old And Below,Male,48
2019,14,Youths (7 To 19 Years Old),Male,26
2019,14,Above 21 Years Old,Female,42
2019,14,21 Years Old And Below,Female,10
2019,14,Youths (7 To 19 Years Old),Female,10
2019,18,Above 21 Years Old,Male,1615
2019,18,21 Years Old And Below,Male,214
2019,18,Youths (7 To 19 Years Old),Male,141
2019,18,Above 21 Years Old,Female,668
2019,18,21 Years Old And Below,Female,118
2019,18,Youths (7 To 19 Years Old),Female,71
