CrimeLog_ID,Year,Crime_code,PoliceStation_ID,Total
862,2013,8,9.0,43
863,2013,11,5.0,3
864,2013,7,6.0,3
865,2013,10,25.0,6
866,2013,9,2.0,5
867,2013,7,5.0,6
868,2013,7,2.0,2
869,2013,10,6.0,1
870,2013,7,3.0,10
871,2013,11,3.0,15
872,2013,10,3.0,5
873,2013,7,10.0,6
874,2013,8,3.0,37
875,2013,11,2.0,1
876,2013,10,2.0,0
877,2013,9,16.0,10
878,2013,10,5.0,2
879,2013,11,16.0,14
880,2013,11,21.0,13
881,2013,10,21.0,7
882,2013,11,28.0,9
883,2013,7,22.0,2
884,2013,11,22.0,30
885,2013,10,22.0,2
886,2013,9,22.0,16
887,2013,8,22.0,27
888,2013,7,12.0,4
889,2013,11,12.0,8
890,2013,10,12.0,5
891,2013,9,12.0,5
892,2013,8,12.0,20
893,2013,7,4.0,5
894,2013,11,4.0,0
895,2013,10,4.0,5
896,2013,10,28.0,4
897,2013,7,28.0,6
898,2013,9,10.0,9
899,2013,9,14.0,17
900,2013,8,10.0,60
901,2013,7,25.0,5
902,2013,10,16.0,9
903,2013,7,21.0,7
904,2013,8,23.0,29
905,2013,9,4.0,5
906,2013,10,23.0,2
907,2013,7,16.0,4
908,2013,9,23.0,4
909,2013,8,8.0,30
910,2013,9,8.0,6
911,2013,10,8.0,8
912,2013,7,8.0,3
913,2013,8,11.0,35
914,2013,9,11.0,37
915,2013,10,11.0,15
916,2013,11,11.0,15
917,2013,7,11.0,6
918,2013,8,4.0,20
919,2013,11,8.0,18
920,2013,10,10.0,13
921,2013,9,28.0,5
922,2013,11,23.0,13
923,2013,9,24.0,4
924,2013,10,24.0,2
925,2013,8,24.0,17
926,2013,7,24.0,1
927,2013,8,28.0,33
928,2013,9,21.0,6
929,2013,11,24.0,14
930,2013,7,23.0,15
931,2014,13,29.0,72
932,2014,12,19.0,217
933,2014,12,35.0,53
934,2014,13,19.0,76
935,2014,12,34.0,287
936,2014,13,34.0,6
937,2014,12,36.0,151
938,2014,13,36.0,4
939,2014,12,16.0,141
940,2014,12,17.0,151
941,2014,13,17.0,13
942,2014,13,16.0,8
943,2014,12,8.0,108
944,2014,13,8.0,6
945,2014,13,11.0,56
946,2014,12,29.0,192
947,2014,12,11.0,237
948,2014,13,35.0,3
949,2014,13,30.0,25
950,2014,12,18.0,145
951,2014,13,31.0,23
952,2014,12,6.0,0
953,2014,12,6.0,152
954,2014,13,6.0,0
955,2014,12,9.0,0
956,2014,13,9.0,0
957,2014,12,18.0,0
958,2014,13,18.0,0
959,2014,12,20.0,0
960,2014,13,20.0,0
961,2014,13,18.0,352
962,2014,12,20.0,29
963,2014,13,20.0,164
964,2014,12,33.0,0
965,2014,13,33.0,0
966,2014,12,32.0,247
967,2014,13,32.0,103
968,2014,12,31.0,286
969,2014,12,30.0,276
970,2014,13,6.0,5
971,2014,13,28.0,4
972,2014,13,9.0,15
973,2014,13,24.0,3
974,2014,12,28.0,77
975,2014,12,13.0,118
976,2014,13,13.0,9
977,2014,12,15.0,160
978,2014,13,15.0,11
979,2014,12,27.0,115
980,2014,13,27.0,40
981,2014,12,14.0,102
982,2014,13,14.0,11
983,2014,12,26.0,80
984,2014,13,26.0,24
985,2014,12,25.0,8
986,2014,13,25.0,5
987,2014,12,10.0,134
988,2014,13,10.0,78
989,2014,13,7.0,0
990,2014,12,24.0,29
991,2014,12,9.0,323
992,2014,13,23.0,17
993,2014,13,21.0,7
994,2014,12,1.0,144
995,2014,13,1.0,9
996,2014,12,5.0,271
997,2014,13,5.0,13
998,2014,12,7.0,66
999,2014,13,7.0,6
1000,2014,12,2.0,112
1001,2014,13,2.0,6
1002,2014,12,3.0,348
1003,2014,13,3.0,13
1004,2014,12,4.0,196
1005,2014,13,4.0,11
1006,2014,12,12.0,230
1007,2014,13,12.0,39
1008,2014,12,22.0,191
1009,2014,13,22.0,16
1010,2014,12,21.0,8
1011,2014,12,23.0,55
1012,2014,12,7.0,0
1013,2014,8,1.0,29
1014,2014,9,25.0,1
1015,2014,8,15.0,46
1016,2014,9,15.0,2
1017,2014,9,3.0,9
1018,2014,10,15.0,4
1019,2014,7,15.0,9
1020,2014,8,27.0,37
1021,2014,9,27.0,4
1022,2014,10,27.0,7
1023,2014,11,27.0,20
1024,2014,7,27.0,3
